movie_id,title,genres,directors,actors,overview
4081,Back to the Beach,Comedy,Lyndall Hobbs,Lori Loughlin|Demian Slade|Frankie Avalon|Tommy Hinkley|Annette Funicello,"Cowabunga! The surfing '60s ride into the new wave as Frankie and Annette star in this hip update of their old-time, good-time beach movies. With special appearances by Bob Denver, Tony Dow, Pee-Wee Herman, Jerry Mathers and other familiar faces. Frankie and Annette grow up and have kids in the midwest. They return to LA to visit their daughter who is shacked up with her boyfriend and tries to hide the fact. They begin to have marriage problems when Frankie runs into Connie, who has erected a shrine to him in her night club. Their punk son has joined up with the local surf toughs, and things all come to a head when the toughs challenge the good guys to a surfing duel"
4082,Barfly,Comedy|Romance|Drama,Barbet Schroeder,J.C. Quinn|Faye Dunaway|Alice Krige|Jack Nance|Mickey Rourke,"Downtrodden writer Henry and distressed goddess Wanda aren't exactly husband and wife: they're wedded to their bar stools. But, they like each other's company—and Barfly captures their giddy, gin-soaked attempts to make a go of life on the skids."
4083,Best Seller,Thriller,John Flynn,Paul Shenar|Allison Balson|Brian Dennehy|Victoria Tennant|James Woods,"Hit man Cleve approaches writer/cop Dennis about a story for his next book: How Cleve made a living, working for one of the most powerful politicians in the country. To get the story right, they travel around the country to gather statements and evidence, while strong forces use any means they can to keep the story untold."
4084,Beverly Hills Cop II,Comedy|Thriller|Action|Crime,Tony Scott,Judge Reinhold|John Ashton|Eddie Murphy|Jürgen Prochnow|Ronny Cox,"Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of ""alphabet"" robberies masterminded by a heartless weapons kingpin—and the chase is on."
4085,Beverly Hills Cop,Comedy|Action|Crime|Drama,Martin Brest,Judge Reinhold|John Ashton|Eddie Murphy|Lisa Eilbacher|Ronny Cox,"Fast-talking, quick-thinking Detroit street cop Axel Foley has bent more than a few rules and regs in his time, but when his best friend is murdered, he heads to sunny Beverly Hills to work the case like only he can."
4086,The Big Easy,Thriller|Action|Romance|Crime|Mystery,Jim McBride,Dennis Quaid|Ned Beatty|Lisa Jane Persky|John Goodman|Ellen Barkin,Remy McSwain is a New Orleans police lieutenant who investigates the murder of a local mobster. His investigation leads him to suspect that fellow members of the police force may be involved.
4089,Born in East L.A.,Comedy,Cheech Marin,Jan-Michael Vincent|Daniel Stern|Cheech Marin|Paul Rodríguez|Kamala Lopez,"Rudy, an American of Hispanic descent, whose south-of-the-border looks show him no mercy during an immigration raid in a migrant worker factory. As his luck goes, he is caught with neither money nor his ID and is deported to Mexico - without speaking a word of Spanish!"
4090,The Brave Little Toaster,Animation|Children,Jerry Rees,Timothy Stack|Timothy E. Day|Deanna Oliver|Jon Lovitz|Phil Hartman,"A group of dated appliances, finding themselves stranded in a summer home that their family had just sold, decide to seek out their eight year old 'master'."
4091,Can't Buy Me Love,Comedy|Romance,Steve Rash,Amanda Peterson|Patrick Dempsey|Seth Green|Courtney Gains|Tina Caspary,"Nerdy high schooler Ronald Miller rescues cheerleader Cindy Mancini from parental punishment after she accidentally destroys her mother's designer clothes. Ronald agrees to pay for the $1,000 outfit on one condition: that she will act as though they're a couple for an entire month. As the days pass, however, Cindy grows fond of Ronald, making him popular. But when Ronald's former best friend gets left behind, he realizes that social success isn't everything."
4092,Cherry 2000,Romance|Sci-Fi,Steve De Jarnatt,Ben Johnson|Marshall Bell|Pamela Gidley|David Andrews|Melanie Griffith,"When successful businessman Sam Treadwell finds that his android wife, Cherry model 2000 has blown a fuse, he hires sexy renegade tracker E. Johnson to find her exact duplicate. But as their journey to replace his perfect mate leads them into the treacherous and lawless region of 'The Zone', Treadwell learns the hard way that the perfect woman is made not of computer chips and diodes."
4093,Cop,Thriller,James B. Harris,Raymond J. Barry|Lesley Ann Warren|James Woods|Charles Durning|Charles Haid,"An obsessive, insubordinate homicide cop is convinced a serial killer is loose in the Hollywood area and disobeys orders in order to catch him."
4102,Eddie Murphy Raw,Comedy|Documentary,Robert Townsend,Deon Richmond|Tatyana Ali|Eddie Murphy|Billie Allen|Samuel L. Jackson,"Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more."
4103,Empire of the Sun,War|Adventure|Action|Drama,Steven Spielberg,Miranda Richardson|Nigel Havers|John Malkovich|Christian Bale|Joe Pantoliano,"Jamie Graham, a privileged English boy, is living in Shanghai when the Japanese invade and force all foreigners into prison camps. Jamie is captured with an American sailor, who looks out for him while they are in the camp together. Even though he is separated from his parents and in a hostile environment, Jamie maintains his dignity and youthful spirit, providing a beacon of hope for the others held captive with him."
4104,Ernest Goes to Camp,Comedy,John Cherry,John Vernon|Lyle Alzado|Jim Varney|Victoria Racimo|Gailard Sartain,"Ernest, a lovable loser who works as a summer camp handyman and dreams of becoming a guidance counselor, must find a way to inspire a group of juvenile delinquents while stopping a shady strip mining company from closing the camp as well."
4105,The Evil Dead,Thriller|Horror|Fantasy,Sam Raimi,Bruce Campbell|Theresa Tilly|Ellen Sandweiss|Betsy Baker|Richard DeManincor,"In 1979, a group of college students find a Sumerian Book of the Dead in an old wilderness cabin they've rented for a weekend getaway."
4109,Flowers in the Attic,Thriller|Drama,Jeffrey Bloom,Jeb Stuart Adams|Kristy Swanson|Victoria Tennant|Ben Ryan Ganger|Louise Fletcher,"After the death of her husband, a mother takes her kids off to live with their grandparents in a huge, decrepit old mansion. However, the kids are kept hidden in a room just below the attic, visited only by their mother who becomes less and less concerned about them and their failing health, and more concerned about herself and the inheritence she plans to win back from her dying father."
4110,The Fourth Protocol,Thriller,John Mackenzie,Joanna Cassidy|Julian Glover|Ned Beatty|Pierce Brosnan|Michael Caine,"Led by Kim Philby, Plan Aurora is a plan that breaches the top-secret Fourth Protocol and turns the fears that shaped it into a living nightmare. A crack Soviet agent, placed under cover in a quiet English country town, begins to assemble a nuclear bomb, whilst an MI5 agent attempts to prevent its detonation."
4111,Gardens of Stone,War|Drama,Francis Ford Coppola,James Caan|Dean Stockwell|Anjelica Huston|James Earl Jones|D. B. Sweeney,"At Arlington National Cemetery during the Vietnam era, veteran sergeant Clell Hazard trains young soldiers while mourning those lost in combat. Unable to return to war himself, he mentors Jackie Willow—the idealistic son of a fallen comrade—hoping to prepare him for the realities of Vietnam and the cost of duty."
4113,The Glass Menagerie,Drama,Paul Newman,Joanne Woodward|John Malkovich|James Naughton|Karen Allen,An aging Southern Belle makes life horrible for her ambitious son and crippled daughter because of her dreams of what life should be.
4115,Hiding Out,Comedy,Bob Giraldi,Annabeth Gish|Oliver Cotton|Tim Quill|Keith Coogan|Jon Cryer,A very successful stock broker is called to court to testify against a mob boss who was into some inside trading. Andrew Morenski must become Max Hauser and go back to high school for protection from the mob.
4116,Hollywood Shuffle,Comedy,Robert Townsend,Helen Martin|Robert Townsend|Keenen Ivory Wayans|Starletta DuPois|Craigus R. Johnson,"Aspiring actor and hot-dog stand employee Bobby Taylor catches the ire of his grandmother for auditioning for a role in the regrettably titled exploitation film ""Jivetime Jimmy's Revenge."" When Tinseltown Studios casts Taylor in the title role, he has a series of conflicted dreams satirizing African-American stereotypes in Hollywood, and must reconcile his career goals with his desire to remain a positive role model for his little brother."
4117,Hope and Glory,Drama,John Boorman,Sarah Miles|Geraldine Muir|David Hayman|Sebastian Rice-Edwards|Sammi Davis,A middle-aged man recalls his childhood growing up in and around London during World War II.
4121,Innerspace,Comedy|Adventure|Action|Sci-Fi,Joe Dante,Meg Ryan|Kevin McCarthy|Martin Short|Dennis Quaid|Fiona Lewis,"Test pilot Tuck Pendleton volunteers to test a special vessel for a miniaturization experiment. Accidentally injected into a neurotic hypochondriac, Jack Putter, Tuck must convince Jack to find his ex-girlfriend, Lydia Maxwell, to help him extract Tuck and his ship and re-enlarge them before his oxygen runs out."
4123,Ishtar,Comedy,Elaine May,Warren Beatty|Charles Grodin|Dustin Hoffman|Jack Weston|Isabelle Adjani,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the CIA, the Emir of Ishtar, and the rebels trying to overthrow his regime."
4124,Jaws: The Revenge,Thriller|Horror,Joseph Sargent,Karen Young|Lorraine Gary|Mario Van Peebles|Michael Caine|Lance Guest,"After another deadly shark attack, Ellen Brody decides she has had enough of New England's Amity Island and moves to the Caribbean to join her son, Michael, and his family. But a great white shark has followed her there, hungry for more lives."
4125,Leonard Part 6,Comedy|Sci-Fi,Paul Weiland,Moses Gunn|Pat Colbert|Tom Courtenay|Bill Cosby|Joe Don Baker,"After separating from his wife, Leonard Parker (Cosby) quit the spy business and became a restaurateur. His wife refuses to speak with him, and his daughter, who changes her career more often than her clothes, has begun dating a man old enough to be Leonard's father! On top of it all, the government has asked him to come back and save the world again."
4126,Less Than Zero,Drama,Marek Kanievska,Robert Downey Jr.|Tony Bill|Jami Gertz|James Spader|Andrew McCarthy,"A college freshman returns to Los Angeles for Christmas at his ex-girlfriend's request, but discovers that his former best friend has an out-of-control drug habit."
4127,Like Father Like Son,Comedy,Rod Daniel,Kirk Cameron|Patrick O'Neal|Margaret Colin|Catherine Hicks|Dudley Moore,"Dr. Jack Hammond has best chances to become medical superintendent in the clinic. So he's completely absorbed in his work and has no understanding for his teenage son Chris' problems with school. By accident one of them drinks a brain-exchanging serum, and it switches their identities. This leads of course to extraordinary complications in school and at work, but also to insight in the problems and feelings of each other."
4128,The Lost Boys,Comedy|Thriller|Horror,Joel Schumacher,Jason Patric|Edward Herrmann|Corey Haim|Barnard Hughes|Dianne Wiest,"When an unsuspecting town newcomer is drawn to local blood fiends, the Frog brothers and other unlikely heroes gear up to rescue him."
4129,Made in Heaven,Romance|Fantasy,Alan Rudolph,Ann Wedgeworth|Maureen Stapleton|Timothy Hutton|James Gammon|Kelly McGillis,"Deceased drifter Mike arrives in Heaven and quickly falls for newborn soul Annie, soon to start her assignment on Earth. When Annie leaves, Mike follows."
4130,Maid to Order,Comedy|Fantasy,Amy Holden Jones,Dick Shawn|Ally Sheedy|Valerie Perrine|Beverly D'Angelo|Michael Ontkean,"Spoiled Jessie Montgomery, whose wild behavior and spending excesses cause her well-meaning but exasperated millionaire father Charles to wish he never had her, is visited by fairy godmother Stella. In an effort to save Jessie, Stella casts a spell which causes Charles to no longer have a daughter. Jessie, now penniless and without a friend, must take a maid's job to earn a living, and hopefully to learn her lesson."
4131,Making Mr. Right,Comedy|Romance|Sci-Fi,Susan Seidelman,Laurie Metcalf|Ben Masters|John Malkovich|Ann Magnuson|Glenne Headly,"When image consultant Frankie Stone is hired by a tech company to teach a scientist’s “Ulysses Robot” how to be a man, she winds up developing very real feelings for the faux human."
4132,Mannequin,Comedy|Romance,Michael Gottlieb,G.W. Bailey|Estelle Getty|James Spader|Kim Cattrall|Andrew McCarthy,"Jonathan Switcher, an unemployed artist, finds a job as an assistant window dresser for a department store. When Jonathan happens upon a beautiful mannequin he previously designed, she springs to life and introduces herself as Emmy, an Egyptian under an ancient spell. Despite interference from the store's devious manager, Jonathan and his mannequin fall in love while creating eye-catching window displays to keep the struggling store in business."
4133,Masters of the Universe,Adventure|Action|Sci-Fi|Fantasy,Gary Goddard,Dolph Lundgren|Billy Barty|Jon Cypher|Meg Foster|Frank Langella,"When the evil Skeletor finds a mysterious power called the Cosmic Key, he becomes nearly invincible, seizing Castle Grayskull and the surrounding city. The Sorceress is now Skeletor's prisoner and he begins to drain her life-force as he waits for the moon of Eternia to align with the Great Eye of the Universe which will bestow god-like power upon him. However, courageous warrior He-Man locates the locksmith inventor Gwildor, who created the Key and has another version of it. During a battle, one of the Keys is transported to Earth, where it is found by teenagers Julie and Kevin. Now, both He-Man and Skeletor's forces arrive on Earth searching for the potent weapon."
4135,The Monster Squad,Comedy|Adventure|Horror,Fred Dekker,Duncan Regehr|Stephen Macht|André Gower|Tom Noonan|Robby Kiger,"Count Dracula adjourns to Earth, accompanied by Frankenstein's Monster, the Wolfman, the Mummy, and the Gillman. The uglies are in search of a powerful amulet that will grant them power to rule the world. Our heroes - the Monster Squad are the only ones daring to stand in their way."
4138,My Demon Lover,Comedy|Horror,Charlie Loventhal,Scott Valentine|Alan Fudge|Michele Little|Gina Gallego|Robert Trebor,"Denny has yet again been left by her thug boyfriend Chip. It seems as if she is doomed to be stuck with awful guys, this time she has to choose between nerdy Charles and the strange Kaz, who turns into a monster when sexually aroused."
4139,No Man's Land,Crime|Drama,Peter Werner,Bill Duke|D. B. Sweeney|Randy Quaid|Lara Harris|Charlie Sheen,"A rookie cop goes undercover to infiltrate a gang of car thieves led by smooth and charming Ted. The rookie becomes too involved and starts to enjoy the thrill and lifestyle of the game, and becomes romanticly involved with the leaders sister."
4141,Head Over Heels,Comedy|Romance,Mark Waters,Sarah Murdoch|Ivana Miličević|Monica Potter|Shalom Harlow|Freddie Prinze Jr.,"Ordinary single girl Amanda Pierce unexpectedly finds herself sharing an awesome Manhattan apartment with four sexy supermodels. Determined to bring Amanda into their world, the models give her the ultimate makeover. The plan works fabulously as Amanda connects with next door charmer Jim Winston. That is, until one night while spying on him, Amanda thinks she sees the man of her dreams committing a cold blooded crime."
4142,Left Behind,Adventure|Thriller|Action|Drama,Vic Sarin,Kirk Cameron|Janaya Stephens|Clarence Gilyard Jr.|Brad Johnson|Colin Fox,"After learning that millions have completely vanished, an airline pilot, a journalist, and others work together to unravel the mystery of those left behind."
4143,Valentine,Horror|Mystery,Jamie Blanks,David Boreanaz|Jessica Capshaw|Marley Shelton|Jessica Cauffiel|Denise Richards,Four friends start to receive morbid Valentine cards and realise they are being stalked by someone they had spurned 13 years ago. A masked killer is on the loose and Valentine's day is soon approaching.
4144,In the Mood for Love,Romance|Drama,Wong Kar-Wai,Rebecca Pan|Siu Ping-Lam|Maggie Cheung|Tony Leung Chiu-wai|Kelly Lai Chen,"In 1962 Hong Kong, neighbors Su Li-zhen (Mrs. Chan) and Chow Mo-wan (Mr. Chow) discover their spouses are having an affair. As they spend time together, they develop feelings for each other, but their relationship remains chaste and unspoken, reflecting societal constraints and their own moral compass."
4146,The Million Dollar Hotel,Romance|Drama|Mystery,Wim Wenders,Peter Stormare|Amanda Plummer|Jeremy Davies|Mel Gibson|Milla Jovovich,A federal agent searches for a potential killer among the bizarre residents of a dilapidated Los Angeles hotel.
4147,Nico and Dani,Comedy|Romance|Drama,Cesc Gay,Esther Nubiola|Chisco Amado|Jordi Vilches|Marieta Orozco|Fernando Ramallo,"While his parents are away for the summer, 16-year-old Dani invites his best friend, the irrepressible Nico, to stay for the holidays. Jealously rears its head when Nico appears more interested in the local girls than in Dani. Hot summer nights and too many  joints lead to experimentation which neither boy can talk about, a situation complicated by the appearance of the older and openly gay Julián, a published writer and old friend of Dani’s father."
4148,Hannibal,Thriller|Horror,Ridley Scott,Julianne Moore|Giancarlo Giannini|Ray Liotta|Anthony Hopkins|Gary Oldman,"After having successfully eluded the authorities for years, Hannibal peacefully lives in Italy in disguise as an art scholar. Trouble strikes again when he's discovered leaving a deserving few dead in the process. He returns to America to make contact with now disgraced Agent Clarice Starling, who is suffering the wrath of a malicious FBI rival as well as the media."
4149,Saving Silverman,Comedy|Romance,Dennis Dugan,Amanda Peet|Steve Zahn|Jack Black|Amanda Detmer|Jason Biggs,"A pair of buddies conspire to save their best friend from marrying the wrong woman, a cold-hearted beauty who snatches him from them and breaks up their Neil Diamond cover band."
4152,Vatel,Drama,Roland Joffé,Gérard Depardieu|Julian Glover|Tim Roth|Timothy Spall|Uma Thurman,"In 1671, with war brewing with Holland, a penniless prince invites Louis XIV to three days of festivities at a chateau in Chantilly. The prince wants a commission as a general, so the extravagances are to impress the king. In charge of all is the steward, Vatel, a man of honor, talent, and low birth. The prince is craven in his longing for stature: no task is too menial or dishonorable for him to give Vatel. While Vatel tries to sustain dignity, he finds himself attracted to Anne de Montausier, the king's newest mistress. In Vatel, she finds someone who's authentic, living out his principles within the casual cruelties of court politics. Can the two of them escape unscathed?"
4153,Down to Earth,Comedy|Romance|Fantasy,Paul Weitz|Chris Weitz,Chris Rock|Regina King|Eugene Levy|Chazz Palminteri|Frankie Faison,"Struggling comic Lance Barton knows what it's like to die on stage. But when his life takes an unexpected turn - straight to heaven - Lance is sure there's been a mistake. Miraculously, he's right! An angel tells Lance he was taken prematurely but assures him he can be returned to Earth - in the aged body of a ruthless white billionaire. In this improbable reincarnation, Lance begins a hilarious quest to realize his showbiz dream...and, along the way, discovers the person he never imagined he could be. Chris Rock delivers a first-rate performance in this romantic comedy remake of HEAVEN CAN WAIT."
4154,Recess: School's Out,Animation|Children,Chuck Sheetz,Andrew Lawrence|Pamela Adlon|Rickey D'Shon Collins|Ashley Johnson|Jason Davis,"The school year is finally ending, and T.J. Detweiler is looking forward to summer. But boredom quickly sets in when his friends leave for camp — until T.J. uncovers an evil plot to do away with summer vacation! A crazy former principal, Dr. Benedict, is planning to use a laser beam to alter the weather and create permanent winter. Faced with the dire threat of year-round school, T.J. rounds up the RECESS gang and bands together with some unexpected allies — Miss Finster and Principal Prickly — in a nonstop adventure to save everyone's summer break. As the kids discover the heroes inside themselves, a platoon of wacky characters, far-out music, and sci-fi surprises turn this madcap mission into a major victory for fun!"
4155,Sweet November,Romance|Drama,Pat O'Connor,Charlize Theron|Keanu Reeves|Greg Germann|Lauren Graham|Jason Isaacs,"Nelson is a man devoted to his advertising career in San Francisco. One day, while taking a driving test at the DMV, he meets Sara. She is very different from the other women in his life. Nelson causes her to miss out on taking the test and later that day she tracks him down. One thing leads to another and Nelson ends up living with her through a November that will change his life forever."
4156,Company Man,Comedy,Peter Askin|Douglas McGrath,Sigourney Weaver|Douglas McGrath|Anthony LaPaglia|Alan Cumming|John Turturro,"In the 1960's, a school teacher pretends to be a CIA spy to get his nagging wife off his back. He helps a Russian ballet dancer defect and is then sent to Cuba to locate ""Agent X"" for the CIA."
4157,The Price of Milk,Comedy|Romance|Drama|Fantasy,Harry Sinclair,Danielle Cormack|Michael Lawrence|Willa O'Neill|Karl Urban|Rangi Motu,"Lucinda lives a fairytale life with dairy farmer Rob, and his 117 cows. But after a freak car accident she decides to test Rob's love for her by trying to make him angry. He passes her tests until a quilt goes missing from their bed and the price of getting it back is high."
4158,Monkeybone,Comedy|Animation|Fantasy,Henry Selick,Bridget Fonda|Chris Kattan|Brendan Fraser|Giancarlo Esposito|John Turturro,"After a car crash sends repressed cartoonist Stu into a coma, he and the mischievous Monkeybone, his hilarious alter-ego, wake up in a wacked-out waystation for lost souls. When Monkeybone takes over Stu's body and escapes to wreak havoc on the real world, Stu has to find a way to stop him before his sister pulls the plug on reality forever!"
4159,3000 Miles to Graceland,Thriller|Action,Demian Lichtenstein,Kurt Russell|Courteney Cox|Kevin Costner|Christian Slater|Kevin Pollak,"It was an ingenious enough plan: rob the Riviera Casino's count room during an Elvis impersonator convention. But Thomas Murphy decided to keep all the money for himself and shot all his partners, including recently-freed ex-con Michael Zane. With $3.2 million at stake, the Marshals Service closing in, Michael must track down Murphy."
4160,The Widow of Saint-Pierre,Romance|Drama,Patrice Leconte,Philippe Magnan|Michel Duchaussoy|Daniel Auteuil|Emir Kusturica|Juliette Binoche,"In 1850, on the isolated French island of Saint-Pierre, a murder shocks the natives. Two fishermen are arrested. One of them, Louis Ollivier, dies in custody. The other, Neel Auguste, is sentenced to death by the guillotine. The island is so small that it has neither a guillotine nor an executioner. While those are sent for Auguste is placed under the supervision of an army Captain."
4161,The Mexican,Comedy|Action,Gore Verbinski,Brad Pitt|Julia Roberts|J.K. Simmons|James Gandolfini|David Krumholtz,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border."
4164,The Caveman's Valentine,Drama,Kasi Lemmons,Aunjanue Ellis-Taylor|Colm Feore|Tamara Tunie|Ann Magnuson|Samuel L. Jackson,"Romulus, a misunderstood musician turned recluse hiding from personal demons in a New York City cave, finds the frozen body of a young drifter in a tree. The authorities, including his police officer daughter, claim the death is accidental. Romulus is convinced the man was murdered by a prominent art photographer but how can he prove he's right when everyone thinks he's insane?"
4166,Series 7: The Contenders,Action|Drama,Daniel Minahan,Mark Woodbury|Michael Kaycheck|Marylouise Burke|Brooke Smith|Richard Venture,"A reality TV program selects six contestants to participate in a free-for-all, no holds barred deathmatch, where they must skillfully outwit and kill each other in order to be the last person alive."
4167,15 Minutes,Thriller,John Herzfeld,Melina Kanakaredes|Kelsey Grammer|Robert De Niro|Edward Burns|Avery Brooks,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story."""
4168,Get Over It,Comedy|Romance,Tommy O'Haver,Melissa Sagemiller|Kirsten Dunst|Sisqó|Shane West|Ben Foster,"When Berke Landers, a popular high school basketball star, gets dumped by his life-long girlfriend, Allison, he soon begins to lose it. But with the help of his best friend Felix's sister Kelly, he follows his ex into the school's spring musical. Thus ensues a love triangle loosely based upon Shakespeare's ""A Midsummer Night's Dream"", where Berke is only to find himself getting over Allison and beginning to fall for Kelly."
4171,Long Night's Journey Into Day,Documentary,Frances Reid|Deborah Hoffmann,Helen Mirren,"This documentary tells four stories of Apartheid in South Africa, as seen through the eyes of the Truth and Reconciliation commission"
4174,Avalon,Drama,Barry Levinson,Joan Plowright|Aidan Quinn|Leo Fuchs|Elizabeth Perkins|Armin Mueller-Stahl,"A Polish-Jewish family comes to the U.S. at the beginning of the twentieth century. There, the family and their children try to make themselves a better future in the so-called promised land."
4175,Gray's Anatomy,Comedy|Drama,Steven Soderbergh,Mike McLaughlin|Alvin Henry|Melissa Robertson|Spalding Gray|Alyne Hargroder,"The film documents, in an often dramatic and humorous fashion, Gray's investigations into alternative medicine for an eye condition (Macular pucker) he had developed."
4178,Of Mice and Men,Drama,Lewis Milestone,Roman Bohnen|Charles Bickford|Betty Field|Burgess Meredith|Lon Chaney Jr.,An intellectually disabled giant and his level headed guardian find work at a sadistic cowboy's ranch in depression era America.
4180,Reform School Girls,Action|Drama,Tom DeSimone,Pat Ast|Linda Carol|Sybil Danning|Wendy O. Williams|Charlotte McGinnis,Jenny is sent to a women's reform school. It is run by evil warden Sutter and her henchwoman Edna. Jenny will stop at nothing to escape but she also has to deal with Charlie the bully.
4181,Tapeheads,Comedy,Bill Fishman,Mary Crosby|Tim Robbins|John Cusack|Clu Gulager|Katy Boyer,"The story of Ivan and Josh, two dimwitted ex-security guards who love music videos. Out of work, with no job prospects, they form a music video production company. They soon learn the ins and outs of the business in LA, and with some help from Mo Fuzz, they soon become hot property. But not all goes smoothly when they try to resurrect the career of their favorite R&B duo, the Swanky Modes."
4184,The Bishop's Wife,Comedy|Romance|Drama,Henry Koster,Monty Woolley|David Niven|Loretta Young|James Gleason|Cary Grant,"An Episcopal Bishop, Henry Brougham, has been working for months on the plans for an elaborate new cathedral which he hopes will be paid for primarily by a wealthy, stubborn widow. He is losing sight of his family and of why he became a churchman in the first place. Enter Dudley, an angel sent to help him. Dudley does help everyone he meets, but not necessarily in the way they would have preferred. With the exception of Henry, everyone loves him, but Henry begins to believe that Dudley is there to replace him, both at work and in his family's affections, as Christmas approaches."
4187,Lilies of the Field,Drama,Ralph Nelson,Sidney Poitier|Isa Crino|Lilia Skala|Lisa Mann|Francesca Jarvis,"An unemployed construction worker heading out west stops at a remote farm in the desert to get water when his car overheats. The farm is being worked by a group of East European Catholic nuns, headed by the strict mother superior, who believes the man has been sent by God to build a much needed church in the desert."
4189,The Greatest Story Ever Told,Drama,George Stevens,Victor Buono|Michael Anderson Jr.|Carroll Baker|Max von Sydow|Ina Balin,"From his birth in Bethlehem to his death and eventual resurrection, the life of Jesus Christ is given the all-star treatment in this epic retelling. Major aspects of Christ's life are touched upon, including the execution of all the newborn males in Egypt by King Herod; Christ's baptism by John the Baptist; and the betrayal by Judas after the Last Supper that eventually leads to Christ's crucifixion and miraculous return."
4190,Elmer Gantry,Drama,Richard Brooks,Shirley Jones|Arthur Kennedy|Jean Simmons|Burt Lancaster|Dean Jagger,A charismatic charlatan begins a business — and eventually romantic — relationship with a roadside evangelist to sell religion to 1920s America. Based on Sinclair Lewis' novel of the same name.
4191,Alfie,Comedy|Romance|Drama,Lewis Gilbert,Jane Asher|Julia Foster|Millicent Martin|Shelley Winters|Michael Caine,A young man leads a promiscuous lifestyle until several life reversals make him rethink his purposes and goals in life.
4193,The Fantasticks,Musical,Michael Ritchie,Brad Sullivan|Jean Louisa Kelly|Joey McIntyre|Joel Grey|Barnard Hughes,"Widowers Amos and Ben plot to romantically unite Amos' daughter Luiss and Ben's son Matt by pretending to feud and forbidding the teens to associate, knowing they will resist their fathers' interference. As the two youngsters fall in love, the fathers plot to end the 'feud' by hiring a traveling showman to fake an abduction and allow Matt to 'rescue' Luisa."
4194,I Know Where I'm Going!,War|Romance|Drama,Michael Powell|Emeric Pressburger,Wendy Hiller|Finlay Currie|Pamela Brown|George Carney|Roger Livesey,"Plucky Englishwoman Joan Webster travels to the remote islands of the Scottish Hebrides in order to marry a wealthy industrialist. Trapped by inclement weather on the Isle of Mull and unable to continue to her destination, Joan finds herself charmed by the straightforward, no-nonsense islanders around her, and becomes increasingly attracted to naval officer Torquil MacNeil, who holds a secret that may change her life forever."
4195,The Abominable Dr. Phibes,Horror|Mystery,Robert Fuest,Terry-Thomas|Virginia North|Hugh Griffith|Vincent Price|Joseph Cotten,"After a team of surgeons botches his beloved wife's operation, the distraught Dr. Phibes unleashes a score of Old-Testament atrocities on his enemies."
4197,Real Life,Comedy,Albert Brooks,Lisa Urette|Charles Grodin|Robert Stirrat|Frances Lee McCain|Albert Brooks,"A pushy, narcissistic filmmaker persuades a Phoenix family to let him and his crew film their everyday lives, in the manner of the ground-breaking PBS series ""An American Family""."
4198,Battle Beyond the Stars,Sci-Fi,Jimmy T. Murakami,John Saxon|Robert Vaughn|Richard Thomas|Darlanne Fluegel|George Peppard,A young farmer assembles a band of diverse mercenaries to defend his peaceful planet from an evil tyrant.
4200,Double Impact,Action,Sheldon Lettich,Bolo Yeung Sze|Geoffrey Lewis|Cory Everson|Jean-Claude Van Damme|Alonna Shaw,"Jean Claude Van Damme plays a dual role as Alex and Chad, twins separated at the death of their parents. Chad is raised by a family retainer in Paris, Alex becomes a petty crook in Hong Kong. Seeing a picture of Alex, Chad rejoins him and convinces him that his rival in Hong Kong is also the man who killed their parents. Alex is suspicious of Chad, especially when it comes to his girlfriend."
4202,Fuzz,Drama,Richard A. Colla,Tom Skerritt|Jack Weston|James McEachin|Burt Reynolds|Raquel Welch,Police in Boston search for a mad bomber trying to extort money from the city.
4203,Harley Davidson and the Marlboro Man,Action|Crime|Drama,Simon Wincer,Daniel Baldwin|Giancarlo Esposito|Don Johnson|Chelsea Field|Mickey Rourke,"It's the lawless future, and renegade biker Harley Davidson and his surly cowboy buddy, Marlboro, learn that a corrupt bank is about to foreclose on their friend's bar to further an expanding empire. Harley and Marlboro decide to help by robbing the crooked bank. But when they accidentally filch a drug shipment, they find themselves on the run from criminal financiers and the mob in this rugged action adventure."
4204,Losin' It,Comedy,Curtis Hanson,"John Stockwell|Jackie Earle Haley|Tom Cruise|Shelley Long|John P. Navin, Jr.","In 1965, four Los Angeles school friends -- Woody, Dave, Spider and Wendell -- go on a series of misadventures when they head to Tijuana, Mexico, for a night of cruisin', causing trouble, and to lose their virginity."
